wilaya_code,wilaya_name_ar,wilaya_name_fr,wilaya_name_en,daira_name_ar,daira_name_fr,daira_name_en,commune_name_ar,commune_name_fr,commune_name_en,postal_code,lat,lon
01,أدرار,Adrar,Adrar,أدرار,Adrar,Adrar,أدرار,Adrar,Adrar,01000,27.8742,-0.2939
01,أدرار,Adrar,Adrar,أدرار,Adrar,Adrar,أولف,Aoulef,Aoulef,01001,26.9728,1.0803
01,أدرار,Adrar,Adrar,أدرار,Adrar,Adrar,تيمي,Timmi,Timmi,01002,27.8517,-0.2408
01,أدرار,Adrar,Adrar,رقان,Reggane,Reggane,رقان,Reggane,Reggane,01010,26.7131,0.1664
01,أدرار,Adrar,Adrar,رقان,Reggane,Reggane,زاوية كنتة,Zaouiet Kounta,Zaouiet Kounta,01011,27.2356,-0.1742
01,أدرار,Adrar,Adrar,تيميمون,Timimoun,Timimoun,تيميمون,Timimoun,Timimoun,01020,29.2632,0.2341
01,أدرار,Adrar,Adrar,تيميمون,Timimoun,Timimoun,شروين,Charouine,Charouine,01021,29.0194,-0.2717
02,الشلف,Chlef,Chlef,الشلف,Chlef,Chlef,الشلف,Chlef,Chlef,02000,36.1653,1.3317
02,الشلف,Chlef,Chlef,الشلف,Chlef,Chlef,حرازة,Haraza,Haraza,02001,36.18,1.31
02,الشلف,Chlef,Chlef,الشلف,Chlef,Chlef,بني حواء,Beni Haoua,Beni Haoua,02002,36.4172,1.5136
02,الشلف,Chlef,Chlef,تنس,Ténès,Tenes,تنس,Ténès,Tenes,02010,36.5153,1.3056
02,الشلف,Chlef,Chlef,تنس,Ténès,Tenes,سيدي عكاشة,Sidi Akkacha,Sidi Akkacha,02011,36.4614,1.45
02,الشلف,Chlef,Chlef,الأبيض سيدي الشيخ,Abou El Hassan,Abou El Hassan,أبو الحسن,Abou El Hassan,Abou El Hassan,02020,36.3636,1.5511
03,الأغواط,Laghouat,Laghouat,الأغواط,Laghouat,Laghouat,الأغواط,Laghouat,Laghouat,03000,33.8,2.8828
03,الأغواط,Laghouat,Laghouat,الأغواط,Laghouat,Laghouat,قلتة سيدي سعد,Gueltat Sidi Saad,Gueltat Sidi Saad,03001,33.7667,2.9167
03,الأغواط,Laghouat,Laghouat,آفلو,Aflou,Aflou,آفلو,Aflou,Aflou,03010,34.1117,2.1003
03,الأغواط,Laghouat,Laghouat,آفلو,Aflou,Aflou,سيدي بوزيد,Sidi Bouzid,Sidi Bouzid,03011,34.1967,2.1514
04,أم البواقي,Oum El Bouaghi,Oum El Bouaghi,أم البواقي,Oum El Bouaghi,Oum El Bouaghi,أم البواقي,Oum El Bouaghi,Oum El Bouaghi,04000,35.8736,7.1128
04,أم البواقي,Oum El Bouaghi,Oum El Bouaghi,أم البواقي,Oum El Bouaghi,Oum El Bouaghi,عين البيضاء,Ain Beida,Ain Beida,04001,35.7956,7.3942
04,أم البواقي,Oum El Bouaghi,Oum El Bouaghi,عين مليلة,Ain M'lila,Ain Mlila,عين مليلة,Ain M'lila,Ain Mlila,04010,36.0272,6.5675
04,أم البواقي,Oum El Bouaghi,Oum El Bouaghi,عين مليلة,Ain M'lila,Ain Mlila,فكيرينة,Fkirina,Fkirina,04011,35.9156,6.8897
05,باتنة,Batna,Batna,باتنة,Batna,Batna,باتنة,Batna,Batna,05000,35.5558,6.1742
05,باتنة,Batna,Batna,باتنة,Batna,Batna,فسديس,Fesdis,Fesdis,05001,35.5292,6.2289
05,باتنة,Batna,Batna,عين توتة,Ain Touta,Ain Touta,عين توتة,Ain Touta,Ain Touta,05010,35.3906,5.8917
05,باتنة,Batna,Batna,آريس,Arris,Arris,آريس,Arris,Arris,05020,35.1006,6.3861
05,باتنة,Batna,Batna,آريس,Arris,Arris,تكوت,Tighanimine,Tighanimine,05021,35.0539,6.465
06,بجاية,Béjaïa,Bejaia,بجاية,Béjaïa,Bejaia,بجاية,Béjaïa,Bejaia,06000,36.7539,5.0844
06,بجاية,Béjaïa,Bejaia,بجاية,Béjaïa,Bejaia,أوقاس,Oued Ghir,Oued Ghir,06001,36.7108,5.0517
06,بجاية,Béjaïa,Bejaia,أقبو,Akbou,Akbou,أقبو,Akbou,Akbou,06010,36.4672,4.5272
06,بجاية,Béjaïa,Bejaia,أقبو,Akbou,Akbou,سيدي عيش,Sidi Aich,Sidi Aich,06011,36.6269,4.6992
06,بجاية,Béjaïa,Bejaia,خراطة,Kherrata,Kherrata,خراطة,Kherrata,Kherrata,06020,36.5,5.2667
07,بسكرة,Biskra,Biskra,بسكرة,Biskra,Biskra,بسكرة,Biskra,Biskra,07000,34.85,5.7333
07,بسكرة,Biskra,Biskra,بسكرة,Biskra,Biskra,أولاد جلال,Ouled Djellal,Ouled Djellal,07001,34.4178,5.0692
07,بسكرة,Biskra,Biskra,طولقة,Tolga,Tolga,طولقة,Tolga,Tolga,07010,34.7228,5.3783
07,بسكرة,Biskra,Biskra,سيدي عقبة,Sidi Okba,Sidi Okba,سيدي عقبة,Sidi Okba,Sidi Okba,07020,34.7456,5.9039
08,بشار,Béchar,Bechar,بشار,Béchar,Bechar,بشار,Béchar,Bechar,08000,31.6167,-2.2167
08,بشار,Béchar,Bechar,بشار,Béchar,Bechar,بوكايس,Boukais,Boukais,08001,31.65,-2.1833
08,بشار,Béchar,Bechar,عباديا,Abadla,Abadla,عباديا,Abadla,Abadla,08010,31.0178,-2.7322
08,بشار,Béchar,Bechar,بني عباس,Beni Abbès,Beni Abbes,بني عباس,Beni Abbès,Beni Abbes,08020,30.1281,-2.1619
09,البليدة,Blida,Blida,البليدة,Blida,Blida,البليدة,Blida,Blida,09000,36.47,2.83
09,البليدة,Blida,Blida,البليدة,Blida,Blida,شفة,Chiffa,Chiffa,09001,36.3933,2.6328
09,البليدة,Blida,Blida,بوفاريك,Boufarik,Boufarik,بوفاريك,Boufarik,Boufarik,09010,36.5747,2.9094
09,البليدة,Blida,Blida,بوفاريك,Boufarik,Boufarik,الأربعاء,Larbaa,Larbaa,09011,36.5594,3.0469
09,البليدة,Blida,Blida,بوعينان,Bouinan,Bouinan,بوعينان,Bouinan,Bouinan,09020,36.5056,2.9019
09,البليدة,Blida,Blida,بوعينان,Bouinan,Bouinan,مفتاح,Meftah,Meftah,09021,36.6258,3.125
09,البليدة,Blida,Blida,الأفرون,Oued El Alleug,Oued El Alleug,واد العلايق,Oued El Alleug,Oued El Alleug,09030,36.5361,2.7347
10,البويرة,Bouira,Bouira,البويرة,Bouira,Bouira,البويرة,Bouira,Bouira,10000,36.3739,3.9003
10,البويرة,Bouira,Bouira,البويرة,Bouira,Bouira,الحاج محمد,El Adjiba,El Adjiba,10001,36.4,3.85
10,البويرة,Bouira,Bouira,سور الغزلان,Sour El Ghozlane,Sour El Ghozlane,سور الغزلان,Sour El Ghozlane,Sour El Ghozlane,10010,36.1503,3.6922
11,تمنراست,Tamanrasset,Tamanrasset,تمنراست,Tamanrasset,Tamanrasset,تمنراست,Tamanrasset,Tamanrasset,11000,22.7853,5.5228
11,تمنراست,Tamanrasset,Tamanrasset,إن صالح,In Salah,In Salah,إن صالح,In Salah,In Salah,11010,27.1972,2.4644
11,تمنراست,Tamanrasset,Tamanrasset,إن قزام,In Guezzam,In Guezzam,إن قزام,In Guezzam,In Guezzam,11020,19.5683,5.7725
12,تبسة,Tébessa,Tebessa,تبسة,Tébessa,Tebessa,تبسة,Tébessa,Tebessa,12000,35.4044,8.1242
12,تبسة,Tébessa,Tebessa,تبسة,Tébessa,Tebessa,الحمامات,Hammamet,Hammamet,12001,35.4,8.0833
12,تبسة,Tébessa,Tebessa,بئر العاتر,Bir El Ater,Bir El Ater,بئر العاتر,Bir El Ater,Bir El Ater,12010,34.7467,7.9467
13,تلمسان,Tlemcen,Tlemcen,تلمسان,Tlemcen,Tlemcen,تلمسان,Tlemcen,Tlemcen,13000,34.8828,-1.3167
13,تلمسان,Tlemcen,Tlemcen,تلمسان,Tlemcen,Tlemcen,منصورة,Mansourah,Mansourah,13001,34.8833,-1.2833
13,تلمسان,Tlemcen,Tlemcen,المغنية,Maghnia,Maghnia,المغنية,Maghnia,Maghnia,13010,34.8744,-1.7258
13,تلمسان,Tlemcen,Tlemcen,المغنية,Maghnia,Maghnia,بوكانون,Bou Kanoune,Bou Kanoune,13011,34.85,-1.6833
13,تلمسان,Tlemcen,Tlemcen,غليزان,Ghazaouet,Ghazaouet,غزاوت,Ghazaouet,Ghazaouet,13020,35.0981,-1.8661
14,تيارت,Tiaret,Tiaret,تيارت,Tiaret,Tiaret,تيارت,Tiaret,Tiaret,14000,35.3711,1.3167
14,تيارت,Tiaret,Tiaret,تيارت,Tiaret,Tiaret,زمالة الأمير عبد القادر,Zmalet El Emir Abdelkader,Zmalet El Emir Abdelkader,14001,35.35,1.3
14,تيارت,Tiaret,Tiaret,فرندة,Frenda,Frenda,فرندة,Frenda,Frenda,14010,35.0736,1.0467
14,تيارت,Tiaret,Tiaret,سوق أهراس,Sougueur,Sougueur,سوقر,Sougueur,Sougueur,14020,35.1822,1.5067
15,تيزي وزو,Tizi Ouzou,Tizi Ouzou,تيزي وزو,Tizi Ouzou,Tizi Ouzou,تيزي وزو,Tizi Ouzou,Tizi Ouzou,15000,36.7169,4.0497
15,تيزي وزو,Tizi Ouzou,Tizi Ouzou,تيزي وزو,Tizi Ouzou,Tizi Ouzou,أويسي,Ouaguenoun,Ouaguenoun,15001,36.75,4.0833
15,تيزي وزو,Tizi Ouzou,Tizi Ouzou,أزفون,Azeffoun,Azeffoun,أزفون,Azeffoun,Azeffoun,15010,36.8997,4.4219
15,تيزي وزو,Tizi Ouzou,Tizi Ouzou,درعة الميزان,Draâ El Mizan,Draa El Mizan,درعة الميزان,Draâ El Mizan,Draa El Mizan,15020,36.5444,3.8328
16,الجزائر,Alger,Algiers,سيدي امحمد,Sidi M'Hamed,Sidi M'Hamed,الجزائر الوسطى,Alger Centre,Algiers Centre,16000,36.7372,3.0887
16,الجزائر,Alger,Algiers,سيدي امحمد,Sidi M'Hamed,Sidi M'Hamed,سيدي امحمد,Sidi M'Hamed,Sidi M'Hamed,16001,36.75,3.0667
16,الجزائر,Alger,Algiers,حسين داي,Hussein Dey,Hussein Dey,حسين داي,Hussein Dey,Hussein Dey,16010,36.7333,3.1167
16,الجزائر,Alger,Algiers,حسين داي,Hussein Dey,Hussein Dey,القبة,El Harrach,El Harrach,16011,36.7167,3.15
16,الجزائر,Alger,Algiers,بوزريعة,Bouzaréah,Bouzareah,بوزريعة,Bouzaréah,Bouzareah,16020,36.7833,3.0167
